Name,Sentiment,Collected
R. Kelly,0.11179363614339234,Albums
Mos Def,0.11043804124709966,Albums
Eric Bellinger,0.09761406343085506,Albums
The Firm,0.09723704272425737,Albums
Common,0.07494110866458789,Albums
Jeremih,0.0744448173333641,Albums
Side Effect,0.06893478260869565,Albums
Chamillionaire,0.06773471869693126,Albums
C.L. Smooth,0.05724806192018003,Albums
Pharrell Williams,0.056969300656702186,Albums
Q-Tip,0.05232415023727858,Albums
Azad,0.05050587876531616,Albums
LL Cool J,0.05015819153566618,Albums
Black Star,0.0483200819753774,Albums
Lupe Fiasco,0.04194486044208418,Albums
Reflection Eternal,0.0401081565306602,Albums
A Tribe Called Quest,0.039837991664633095,Albums
Chevy Woods,0.035930195351017984,Albums
Krizz Kaliko,0.03589828953033756,Albums
Wyclef Jean,0.03458424969759485,Albums
Jay Electronica,0.033877616302691614,Albums
Akon,0.032298541711552525,Albums
Childish Gambino,0.03228580068931959,Albums
Paul Wall,0.028783622862387,Albums
Bone Thugs,0.02877244143585651,Albums
De La Soul,0.028468283287844558,Albums
Rakim,0.027871779772161178,Albums
Poor Righteous Teachers,0.026650416909018326,Albums
Slick Rick,0.0261352925984517,Albums
Talib Kweli,0.026033854157994998,Albums
Nelly,0.024759346191268468,Albums
Drake,0.02424228509765188,Albums
OutKast,0.023846675746438565,Albums
Jermaine Dupri,0.022402846557356592,Albums
Masta Ace,0.021853042517161567,Albums
Pete Rock,0.021096367231006757,Albums
Ty Dolla $ign,0.01906560838792939,Albums
Evidence,0.018798650232023484,Albums
Wale,0.01869169399379388,Albums
Cassidy,0.016841297383877362,Albums
Fabolous,0.015556724166920746,Albums
Travis Scott,0.014361910633258304,Albums
Nana,0.014325092791510442,Albums
Run-D.M.C.,0.014062452543762724,Albums
Atmosphere,0.013041258325282839,Albums
Blu,0.012737978896291254,Albums
Kanye West,0.012536485781821082,Albums
Skepta,0.01181657091586595,Albums
Markul,0.011560255833814061,Albums
Consequence,0.010657345395655564,Albums
Maino,0.00937541014236551,Albums
Kuniva,0.008880515667888982,Albums
Ma$e,0.008429313790910572,Albums
Kid Cudi,0.0073951846299482055,Albums
Everlast,0.005858350363974187,Albums
G-Eazy,0.005728591509062734,Albums
Big Boi,0.005502804103222088,Albums
Cappadonna,0.005498969121209297,Albums
Problem,0.005307620690982512,Albums
Wiz Khalifa,0.005059293795735135,Albums
Big K.R.I.T.,0.004537502437447012,Albums
Big Sean,0.004174017467654281,Albums
Fort Minor,0.0038434933385061328,Albums
Kevin Gates,0.003180122506518597,Albums
Kano,0.0020893085553508714,Albums
Snoop Dogg,0.0006288570519600431,Albums
Black Thought,1.2001207876606019e-05,Albums
Tyga,-0.0001065264860166047,Albums
The Roots,-0.00031435925650913067,Albums
Joey Bada$$,-0.00035001755379311314,Albums
DJ Khaled,-0.0007192820356217942,Albums
Centr,-0.0008026169387997712,Albums
Gang Starr,-0.0008657111301004169,Albums
Reks,-0.0015594534747917267,Albums
Joell Ortiz,-0.0022911495024224987,Albums
P. Diddy,-0.003185302863033002,Albums
Clipse,-0.0034576091822821355,Albums
Red Cafe,-0.003634971091000502,Albums
Inspectah Deck,-0.004047791540274428,Albums
Czarface,-0.004389506212252782,Albums
Apollo Brown,-0.0049618538014795455,Albums
Chris Rivers,-0.005795387853910891,Albums
Action Bronson,-0.005833142389830882,Albums
Killah Priest,-0.006078396843255776,Albums
B-Real,-0.00633520587501812,Albums
Kid Ink,-0.00637493460046745,Albums
Akrobatik,-0.00643015231130631,Albums
Post Malone,-0.0069734394599569064,Albums
Ace Hood,-0.00719826985875615,Albums
Future,-0.007552610832256038,Albums
Hell Razah,-0.00820395981015652,Albums
Freeway,-0.008666192392594613,Albums
Birdman,-0.009153899674890793,Albums
Nate Dogg,-0.009171182768791154,Albums
Yelawolf,-0.009921376731163433,Albums
J. Cole,-0.010270370693228888,Albums
CunninLynguists,-0.010673977534194499,Albums
The Alchemist,-0.010679026569769316,Albums
Cormega,-0.010721744141967915,Albums
Lil' Flip,-0.010788189005001144,Albums
Kendrick Lamar,-0.012023591645891028,Albums
Millyz,-0.012215913944236965,Albums
Demrick,-0.012682421319258907,Albums
Dead Prez,-0.01290214390350973,Albums
Jadakiss,-0.014149818935844166,Albums
Juelz Santana,-0.014620286783773875,Albums
N.O.R.E.,-0.015412470008680821,Albums
Jim Jones,-0.015448839929103148,Albums
Griselda,-0.016361138635037777,Albums
Esoteric,-0.01663057925525413,Albums
Petey Pablo,-0.017239942314412032,Albums
Curren$y,-0.017457263855088067,Albums
Ludacris,-0.017665406145259927,Albums
Termanology,-0.018229591891396852,Albums
Pusha T,-0.018886617776083064,Albums
Canibus,-0.019743210779654127,Albums
Joe Budden,-0.020327788113832013,Albums
Nav,-0.020716539210713647,Albums
Outlawz,-0.02102635328489074,Albums
Aesop Rock,-0.022082985040627695,Albums
B.o.B,-0.02234574396399034,Albums
50 Cent,-0.02235817073425983,Albums
The LOX,-0.022638675051468837,Albums
Twista,-0.02288023926496199,Albums
Vic Mensa,-0.023097090628919563,Albums
Bronze Nazareth,-0.023225293896038873,Albums
JR Writer,-0.023340797635213326,Albums
Statik Selektah,-0.023648634132395,Albums
Ras Kass,-0.02423911842967665,Albums
MF DOOM,-0.0248474508793995,Albums
Nas,-0.024949742436243434,Albums
Bun B,-0.025496793721339242,Albums
Fugees,-0.025751871212344728,Albums
French Montana,-0.02721557316070894,Albums
Papoose,-0.02730987601246041,Albums
Journalist 103,-0.02795153986120199,Albums
AZ,-0.028560787905193532,Albums
"Royce da 5'9""",-0.028665686256446634,Albums
Reef the Lost Cauze,-0.028800509338306458,Albums
Saigon,-0.028831679945140215,Albums
Fat Joe,-0.029187162797148333,Albums
Method Man,-0.0297634688523207,Albums
Slim Thug,-0.031050668678520514,Albums
Tech N9ne,-0.031893195772680454,Albums
The Diplomats,-0.03211593457527922,Albums
Rittz,-0.03233091167810477,Albums
Young Thug,-0.0325038948382631,Albums
Nipsey Hussle,-0.032950571005748754,Albums
Capone-n-Noreaga,-0.03302042116148923,Albums
Locksmith,-0.033313819808322855,Albums
Rick Ross,-0.03337112388391446,Albums
Smif-n-Wessun,-0.03339569905092541,Albums
Almighty,-0.03374846444578229,Albums
2 Chainz,-0.033795692074727976,Albums
Sheek Louch,-0.034119309403689416,Albums
Pharoahe Monch,-0.03461483462464379,Albums
Merkules,-0.034979186506772696,Albums
Jeezy,-0.03529383490327561,Albums
Lil Wayne,-0.03554272954885631,Albums
Trick Trick,-0.03557996104080172,Albums
Machine Gun Kelly,-0.03574908416943458,Albums
Wu-Tang Clan,-0.0360914649675364,Albums
T.I.,-0.037352688967680694,Albums
Lloyd Banks,-0.037987765793682404,Albums
Chino XL,-0.03866034457707633,Albums
Busta Rhymes,-0.039894014778660725,Albums
Redman,-0.04008630661200629,Albums
Viro the Virus,-0.04012863965889351,Albums
Infamous Mobb,-0.040432908471595294,Albums
G-Unit,-0.04047065964840968,Albums
Tragedy Khadafi,-0.04066392805876944,Albums
Krayzie Bone,-0.040783103207473734,Albums
Xzibit,-0.041611916486842225,Albums
Drag-On,-0.041867581118635165,Albums
Prodigy,-0.04290796808498671,Albums
Cam'ron,-0.04301707677280701,Albums
Jay Rock,-0.04325518216608282,Albums
Sabac,-0.04326291663702263,Albums
Kurupt,-0.04350559901414107,Albums
Raekwon,-0.04356587418768286,Albums
The Notorious B.I.G.,-0.04459034858984797,Albums
GZA,-0.04466807014957027,Albums
Tha Dogg Pound,-0.04562737754851517,Albums
Eminem,-0.04629908480003206,Albums
Beanie Sigel,-0.04642331793203438,Albums
Killer Mike,-0.04716335206451135,Albums
Terror Squad,-0.04894665122345944,Albums
Ghostface Killah,-0.049238862527450876,Albums
Havoc,-0.05015780491093156,Albums
Cashis,-0.05048294058476457,Albums
Snak the Ripper,-0.05070632603873705,Albums
Styles P,-0.05097379273471805,Albums
Trae tha Truth,-0.05156857813152322,Albums
Cypress Hill,-0.052596626691323256,Albums
Run the Jewels,-0.05292641941226871,Albums
Troy Ave,-0.05401635722284305,Albums
Big Pun,-0.05410362452024101,Albums
Big L,-0.054461033109817265,Albums
Kool G Rap,-0.05622476979947228,Albums
Slaughterhouse,-0.056455463739268935,Albums
Meek Mill,-0.05672747767952811,Albums
Master P,-0.05677559372667991,Albums
Too $hort,-0.05733084283017578,Albums
Lil' Fame,-0.05880197115058479,Albums
8Ball & MJG,-0.058997816240266156,Albums
Hell Rell,-0.05985773806750314,Albums
Apathy,-0.06257114114445196,Albums
Ruff Ryders,-0.06325609187250951,Albums
Dave East,-0.0635628719257383,Albums
Immortal Technique,-0.06367679393962657,Albums
Dope D.O.D.,-0.06375953568613073,Albums
Vinnie Paz,-0.06411902304668933,Albums
M.O.P,-0.06501173235924565,Albums
Trick Daddy,-0.06509681927981732,Albums
Celph Titled,-0.06509759030447158,Albums
Prozak,-0.06603775488661534,Albums
Crooked I,-0.06639392586503516,Albums
Obie Trice,-0.06718792143290842,Albums
Sicknature,-0.06804643287838154,Albums
Pimp C,-0.06853783175501979,Albums
Outerspace,-0.06917464939046995,Albums
Snowgoons,-0.06952551152553682,Albums
Swizz Beatz,-0.07143654305373558,Albums
Sean Price,-0.07482106993375133,Albums
2Pac,-0.07502696715483934,Albums
Jedi Mind Tricks,-0.07542056712574585,Albums
The Game,-0.07560159898435963,Albums
Malik B,-0.0765165282084245,Albums
Mobb Deep,-0.08017341327493158,Albums
Non Phixion,-0.08207045605973244,Albums
Ice Cube,-0.08386786603534052,Albums
Slaine,-0.08468089979681845,Albums
Ja Rule,-0.0849196631498238,Albums
Sticky Fingaz,-0.08689559165156761,Albums
DMX,-0.08720853937124672,Albums
Diabolic,-0.08801989323150114,Albums
Freddie Gibbs,-0.08815753964740534,Albums
Yo Gotti,-0.0882536642000467,Albums
R.A. the Rugged Man,-0.08849321257420294,Albums
Heltah Skeltah,-0.08967820703084976,Albums
Army of the Pharaohs,-0.09114685056931991,Albums
UGK,-0.09237214320722952,Albums
Eazy-E,-0.09518634463247183,Albums
Ill Bill,-0.09523284484628264,Albums
Dr. Dre,-0.09669351134082797,Albums
Capone,-0.09740508153676064,Albums
Onyx,-0.0981221356101028,Albums
Scarface,-0.10274580545109263,Albums
21 Savage,-0.10866037615806523,Albums
Three 6 Mafia,-0.11010914412441034,Albums
Cage,-0.11117479315902708,Albums
The Godfathers,-0.11616063536945462,Albums
Juicy J,-0.11694009302566691,Albums
La Coka Nostra,-0.12298826495889899,Albums
Necro,-0.1272266843287467,Albums
Geto Boys,-0.1318955623392636,Albums
Bankroll Mafia,-0.1337289312861229,Albums
D12,-0.1375949218758836,Albums
N.W.A,-0.1405082754090637,Albums
